"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-277 0.426199874924632 2 20 "GO:0060070" "canonical Wnt signaling pathway" 0.886542122211041
-108 0.865080903541576 4 6 "GO:0060078;GO:0060079" "regulation of postsynaptic membrane potential" 0.985500292252112
54 0.927291302942618 3 7 "GO:0060088" "auditory receptor cell stereocilium organization" 0.994151563136106
-603 0.121041557134831 2 16 "GO:0060122" "inner ear receptor cell stereocilium organization" 0.747360968599165
-26 0.967610841098412 6 6 "GO:0060134" "prepulse inhibition" 0.995848162381776
-315 0.619849497115978 2 6 "GO:0060135" "maternal process involved in female pregnancy" 0.943223810234031
626 0.203551454284067 4 10 "GO:0060179" "male mating behavior" 0.807118809272377
263 0.593147999657105 3 10 "GO:0060191" "regulation of lipase activity" 0.936984714918575
681 0.188894058079002 5 9 "GO:0060213;GO:0060211;GO:1900153;GO:1900151" "regulation of nuclear-transcribed mRNA poly(A) tail shortening" 0.800815080667849
-164 0.663697568760677 2 17 "GO:0060236;GO:0090224" "regulation of spindle organization" 0.960716752709661
-8 0.958899239068695 2 100 "GO:0060249" "anatomical structure homeostasis" 0.995848162381776
425 0.412548469888204 3 9 "GO:0060251" "regulation of glial cell proliferation" 0.88356322493948
588 0.398082508535313 2 5 "GO:0060252" "positive regulation of glial cell proliferation" 0.876482078566761
320 0.645088083468207 2 5 "GO:0060259" "regulation of feeding behavior" 0.954615188737427
60 0.90315104305885 2 10 "GO:0060260;GO:2000142" "regulation of DNA-templated transcription, initiation" 0.990355541657702
1986 0.00429033354895875 2 5 "GO:0060263" "regulation of respiratory burst" 0.234394006546722
385 0.00112342594834846 2 179 "GO:0060271;GO:0044782;GO:0120031;GO:0030031" "cell projection assembly" 0.125171979885107
506 0.051370400408967 3 36 "GO:0060285;GO:0001539" "cilium-dependent cell motility" 0.626700781048411
355 0.610175602341326 3 5 "GO:0060287" "epithelial cilium movement involved in determination of left/right asymmetry" 0.940983153451554
-519 0.345317622335344 2 8 "GO:0060291" "long-term synaptic potentiation" 0.871018469660137
-110 0.770616116240708 5 17 "GO:0060294" "cilium movement involved in cell motility" 0.975778147430469
185 0.655696360254966 3 14 "GO:0060297;GO:0060298" "regulation of sarcomere organization" 0.96029790343216
176 0.734178516839233 3 9 "GO:0060307;GO:0099623;GO:0060306" "regulation of cardiac muscle cell membrane repolarization" 0.972191552623681
-638 0.31508417829468 4 6 "GO:0060317" "cardiac epithelial to mesenchymal transition" 0.861282998314988
1146 0.0270597102928558 2 9 "GO:0060322" "head development" 0.482399408680985
-678 0.167886664596052 3 10 "GO:0060325" "face morphogenesis" 0.778164339061586
367 0.280152460541302 2 21 "GO:0060326" "cell chemotaxis" 0.849237494170216
873 0.209433163763978 4 5 "GO:0060337" "type I interferon signaling pathway" 0.809139384793525
24 0.967196377756103 4 7 "GO:0060339;GO:0060338" "regulation of type I interferon-mediated signaling pathway" 0.995848162381776
-89 0.374803125471775 4 253 "GO:0060341" "regulation of cellular localization" 0.87237376016788
-687 0.143296059548806 3 11 "GO:0060343" "trabecula formation" 0.754527032390027
-787 0.257548717724362 2 5 "GO:0060346" "bone trabecula formation" 0.837672144855893
-818 0.239610628750887 4 5 "GO:0060347" "heart trabecula formation" 0.822497464382836
-107 0.776299222648487 4 17 "GO:0060348" "bone development" 0.975778147430469
-698 0.136725948040481 2 11 "GO:0060349" "bone morphogenesis" 0.754527032390027
-712 0.261936168020391 5 6 "GO:0060351" "cartilage development involved in endochondral bone morphogenesis" 0.83913215296304
532 0.444687050173431 2 5 "GO:0060395" "SMAD protein signal transduction" 0.889991966314376
270 0.449353212869826 5 19 "GO:0060401;GO:0060402;GO:0097553" "cytosolic calcium ion transport" 0.889991966314376
-188 0.650604753626727 3 14 "GO:0060411" "cardiac septum morphogenesis" 0.95750498868605
201 0.397593972812605 4 43 "GO:0060429" "epithelium development" 0.876482078566761
-981 0.0365922493443457 2 11 "GO:0060444;GO:0001702" "branching involved in mammary gland duct morphogenesis" 0.559631968290333
-441 0.487046054947529 2 6 "GO:0060446" "branching involved in open tracheal system development" 0.893770874679203
-343 0.589410160926731 6 6 "GO:0060457;GO:1990869;GO:1990868" "cellular response to chemokine" 0.936207375258313
45 0.924500869001248 3 11 "GO:0060485" "mesenchyme development" 0.99328594169326
-327 0.360342452824808 2 19 "GO:0060536" "cartilage morphogenesis" 0.87237376016788
-21 0.933934540890674 3 37 "GO:0060560" "developmental growth involved in morphogenesis" 0.994151563136106
58 0.800050027713199 4 46 "GO:0060562" "epithelial tube morphogenesis" 0.978007347253801
-203 0.730415735999174 2 7 "GO:0060571" "morphogenesis of an epithelial fold" 0.972191552623681
-508 0.356128667874741 5 8 "GO:0060612" "adipose tissue development" 0.87237376016788
104 0.418579272059776 4 150 "GO:0060627" "regulation of vesicle-mediated transport" 0.886542122211041
-564 0.304728372936368 2 8 "GO:0060628" "regulation of ER to Golgi vesicle-mediated transport" 0.861282998314988
675 0.0928503006821078 2 15 "GO:0060632" "regulation of microtubule-based movement" 0.703125909579173
-712 0.305988408557901 2 5 "GO:0060688" "regulation of morphogenesis of a branching structure" 0.861282998314988
-441 0.486881368126483 2 6 "GO:0060742" "epithelial cell differentiation involved in prostate gland development" 0.893770874679203
-93 0.699815644171643 4 42 "GO:0060759" "regulation of response to cytokine stimulus" 0.969463186845559
-452 0.13155700314915 2 27 "GO:0060760" "positive regulation of response to cytokine stimulus" 0.749224547190351
141 0.810946325271075 2 7 "GO:0060765" "regulation of androgen receptor signaling pathway" 0.980760335505261
-386 0.0624717508316353 6 57 "GO:0060828" "regulation of canonical Wnt signaling pathway" 0.645432445484496
377 0.193206922811943 4 29 "GO:0060964;GO:0060147;GO:0060966;GO:0060968" "regulation of gene silencing" 0.803203006432124
-162 0.754640145234632 4 9 "GO:0060976" "coronary vasculature development" 0.972191552623681
-250 0.610733324824565 3 10 "GO:0060977;GO:0060982" "coronary vasculature morphogenesis" 0.940983153451554
-11 0.973841024423248 5 20 "GO:0060998;GO:0061001" "regulation of dendritic spine development" 0.996485634016242
36 0.931189154821496 3 14 "GO:0060999" "positive regulation of dendritic spine development" 0.994151563136106
87 0.873839248758629 2 8 "GO:0061003" "positive regulation of dendritic spine morphogenesis" 0.985500292252112
-849 0.22191777088539 2 5 "GO:0061005" "cell differentiation involved in kidney development" 0.811685633646563
184 0.369386370133749 2 58 "GO:0061013;GO:0043488;GO:0043487" "regulation of mRNA catabolic process" 0.87237376016788
591 0.0978465071039324 7 19 "GO:0061014" "positive regulation of mRNA catabolic process" 0.712534609294099
-120 0.289966110573881 2 195 "GO:0061024" "membrane organization" 0.854274586950995
-158 0.774151376763846 3 8 "GO:0061028;GO:0001885" "endothelial cell development" 0.975778147430469
-1146 0.0994560753414216 5 5 "GO:0061035" "regulation of cartilage development" 0.719483076287201
264 0.344840954050376 6 31 "GO:0061041" "regulation of wound healing" 0.871018469660137
128 0.692740747579698 2 23 "GO:0061045;GO:1903035" "negative regulation of response to wounding" 0.967133082814301
241 0.729325307837709 2 5 "GO:0061049" "cell growth involved in cardiac muscle cell development" 0.972191552623681
542 0.270524051947529 4 10 "GO:0061050;GO:2000725" "regulation of cardiac muscle cell differentiation" 0.848319559423731
16 0.953698950790935 3 31 "GO:0061061" "muscle structure development" 0.995848162381776
-390 0.185868700437657 2 28 "GO:0061077" "chaperone-mediated protein folding" 0.800815080667849
-888 0.130997060682537 4 7 "GO:0061097" "regulation of protein tyrosine kinase activity" 0.749224547190351
287 0.145512428240777 4 63 "GO:0061136;GO:1903050;GO:1903362" "regulation of cellular protein catabolic process" 0.756669589431464
-624 0.288592042258493 3 7 "GO:0061156" "pulmonary artery morphogenesis" 0.853343655660768
415 0.450117717718477 3 8 "GO:0061157;GO:0050779" "RNA destabilization" 0.889991966314376
160 0.680111177603175 5 16 "GO:0061178" "regulation of insulin secretion involved in cellular response to glucose stimulus" 0.963610436687005
-547 0.188730487299732 2 14 "GO:0061314;GO:0061311" "cell surface receptor signaling pathway involved in heart development" 0.800815080667849
-287 0.625964664867009 2 7 "GO:0061326" "renal tubule development" 0.947343845363222
-199 0.718148596207443 5 8 "GO:0061333" "renal tubule morphogenesis" 0.972191552623681
341 0.562484963961034 3 7 "GO:0061337" "cardiac conduction" 0.926761186147165
483 0.187957599986504 2 18 "GO:0061351" "neural precursor cell proliferation" 0.800815080667849
696 0.316858771196238 8 5 "GO:0061418" "regulation of transcription from RNA polymerase II promoter in response to hypoxia" 0.861282998314988
-754 0.0934128939589879 4 12 "GO:0061448" "connective tissue development" 0.703125909579173
-421 0.348730023699449 3 12 "GO:0061462" "protein localization to lysosome" 0.871018469660137
958 0.00729500120552639 2 19 "GO:0061512" "protein localization to cilium" 0.282189888333121
862 0.142412290314633 2 7 "GO:0061515" "myeloid cell development" 0.754527032390027
-443 0.270480563012385 6 15 "GO:0061564" "axon development" 0.848319559423731
1816 0.0042282434327704 7 6 "GO:0061580;GO:0061582" "intestinal epithelial cell migration" 0.234394006546722
-1562 0.00450478251887686 7 8 "GO:0061620;GO:0061615" "glycolytic process through fructose-6-phosphate" 0.234394006546722
-1314 0.0384956134749695 4 6 "GO:0061621;GO:0061718;GO:0009629" "canonical glycolysis" 0.568458980046248
-486 0.348459978978707 4 9 "GO:0061844;GO:0043152" "antimicrobial humoral immune response mediated by antimicrobial peptide" 0.871018469660137
-602 0.273574447868018 2 8 "GO:0061912" "selective autophagy" 0.848798442853628
130 0.681935098250599 2 24 "GO:0061951" "establishment of protein localization to plasma membrane" 0.963610436687005
786 0.258396679135584 3 5 "GO:0061952" "midbody abscission" 0.837672144855893
-713 0.076055943404872 2 15 "GO:0061982" "meiosis I cell cycle process" 0.678936806458106
-270 0.145816355614641 4 71 "GO:0062012" "regulation of small molecule metabolic process" 0.756669589431464
-426 0.220919021819681 2 20 "GO:0062013" "positive regulation of small molecule metabolic process" 0.810938526090533
-409 0.252416362644819 2 19 "GO:0062014" "negative regulation of small molecule metabolic process" 0.832114898678971
405 0.523313118195424 2 6 "GO:0062033" "positive regulation of mitotic sister chromatid segregation" 0.909941463855249
65 0.870886981022245 5 15 "GO:0065002;GO:0071806" "intracellular protein transmembrane transport" 0.985500292252112
-157 0.0254878269597999 2 543 "GO:0065003" "protein-containing complex assembly" 0.474819110656427
179 0.522989496499469 2 31 "GO:0065004" "protein-DNA complex assembly" 0.909941463855249
-218 0.657734001968417 3 10 "GO:0070050" "neuron cellular homeostasis" 0.960716752709661
92 0.859442212965648 4 9 "GO:0070059" "intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress" 0.985101548950536
304 0.536386828151741 4 10 "GO:0070076;GO:0016577;GO:0006482;GO:0008214" "protein demethylation" 0.914220414340894
932 0.0902154140847434 2 8 "GO:0070125" "mitochondrial translational elongation" 0.703125909579173
1460 0.0214466856142247 2 6 "GO:0070126" "mitochondrial translational termination" 0.44633204954033
-618 0.37387452638977 3 5 "GO:0070129;GO:0062125" "regulation of mitochondrial gene expression" 0.87237376016788
26 0.951561668572532 4 13 "GO:0070167;GO:0110149" "regulation of biomineral tissue development" 0.995848162381776
-20 0.974735833712367 3 6 "GO:0070192" "chromosome organization involved in meiotic cell cycle" 0.996485634016242
136 0.84525376545835 2 5 "GO:0070198" "protein localization to chromosome, telomeric region" 0.982676277590505
131 0.693569346838071 6 22 "GO:0070206" "protein trimerization" 0.967133082814301
269 0.549660542432424 2 12 "GO:0070207" "protein homotrimerization" 0.923063461679854
174 0.710996075631647 2 11 "GO:0070208" "protein heterotrimerization" 0.970997002590188
273 0.619302245937027 2 8 "GO:0070227;GO:0070231" "lymphocyte apoptotic process" 0.943113706176472
176 0.764702829315638 8 7 "GO:0070228" "regulation of lymphocyte apoptotic process" 0.973916828808625
-277 0.450858009011813 2 18 "GO:0070252" "actin-mediated cell contraction" 0.889991966314376
201 0.488206466382972 2 29 "GO:0070286" "axonemal dynein complex assembly" 0.893770874679203
444 0.522959653685358 5 5 "GO:0070296" "sarcoplasmic reticulum calcium ion transport" 0.909941463855249
9 0.982082332671743 3 15 "GO:0070301" "cellular response to hydrogen peroxide" 0.996485634016242
161 0.493999872856281 2 44 "GO:0070372" "regulation of ERK1 and ERK2 cascade" 0.894741847740145
-31 0.937810565760426 5 15 "GO:0070373" "negative regulation of ERK1 and ERK2 cascade" 0.994358887847017
253 0.43678196101082 6 23 "GO:0070374" "positive regulation of ERK1 and ERK2 cascade" 0.889991966314376
115 0.834908231131104 6 8 "GO:0070445" "regulation of oligodendrocyte progenitor proliferation" 0.982676277590505
490 0.372984765097198 5 8 "GO:0070475;GO:0031167" "rRNA methylation" 0.87237376016788
587 0.355250817936854 3 6 "GO:0070498" "interleukin-1-mediated signaling pathway" 0.87237376016788
211 0.205669225702923 2 88 "GO:0070507;GO:0032886" "regulation of microtubule-based process" 0.808897739144783
-61 0.891661099168773 2 12 "GO:0070509" "calcium ion import" 0.987914984373673
178 0.692680501728714 4 12 "GO:0070527" "platelet aggregation" 0.967133082814301
310 0.656074575066485 3 5 "GO:0070528" "protein kinase C signaling" 0.96029790343216
-5 0.989112673442687 2 21 "GO:0070534" "protein K63-linked ubiquitination" 0.998604977696594
242 0.575037622063894 4 13 "GO:0070536" "protein K63-linked deubiquitination" 0.933134491337083
474 0.184323247215773 4 19 "GO:0070542" "response to fatty acid" 0.800815080667849
149 0.830296481923427 7 5 "GO:0070544" "histone H3-K36 demethylation" 0.982676277590505
235 0.533802463378025 2 17 "GO:0070555" "response to interleukin-1" 0.914092786140353
-319 0.615776138063012 4 6 "GO:0070584" "mitochondrion morphogenesis" 0.943113706176472
148 0.602804902433268 2 30 "GO:0070588" "calcium ion transmembrane transport" 0.939105769824586
874 0.209119874286035 2 5 "GO:0070593" "dendrite self-avoidance" 0.808897739144783
178 0.762105005357779 3 7 "GO:0070613;GO:1903317" "regulation of protein maturation" 0.97289799321919
510 0.385926516787427 4 7 "GO:0070633" "transepithelial transport" 0.87237376016788
52 0.597532029246659 2 258 "GO:0070647" "protein modification by small protein conjugation or removal" 0.938976852546987
-949 0.172585962588611 2 5 "GO:0070813" "hydrogen sulfide metabolic process" 0.788026852430008
-411 0.428331781910329 2 9 "GO:0070830" "bicellular tight junction assembly" 0.886542122211041
-493 0.401717815138946 3 7 "GO:0070863;GO:0070861" "regulation of protein exit from endoplasmic reticulum" 0.876537565484655
1023 0.0628226248859677 8 8 "GO:0070884;GO:0106056;GO:0070885;GO:0106057" "regulation of calcineurin-NFAT signaling cascade" 0.645432445484496
-137 0.0769394014277564 3 441 "GO:0070887;GO:0071310" "cellular response to chemical stimulus" 0.681886013752588
903 0.0543719052185888 8 11 "GO:0070918;GO:0031050" "production of small RNA involved in gene silencing by RNA" 0.626700781048411
975 0.0376332379093859 6 11 "GO:0070922" "small RNA loading onto RISC" 0.567855354827483
256 0.00897797887568395 2 265 "GO:0070925" "organelle assembly" 0.308116594180388
-505 0.468005871997842 2 5 "GO:0070932" "histone H3 deacetylation" 0.889991966314376
-886 0.16265257086942 4 6 "GO:0070935" "3'-UTR-mediated mRNA stabilization" 0.772769614232157
28 0.936827921190008 2 19 "GO:0070936" "protein K48-linked ubiquitination" 0.994358887847017
48 0.883065305528869 6 23 "GO:0070972" "protein localization to endoplasmic reticulum" 0.987463083308389
-185 0.736436528751468 2 8 "GO:0070979" "protein K11-linked ubiquitination" 0.972191552623681
167 0.761804565570831 2 8 "GO:0070986" "left/right axis specification" 0.97289799321919
592 0.394955880334817 7 5 "GO:0070987" "error-free translesion synthesis" 0.875689120247505
-63 0.875539436074053 2 15 "GO:0070988" "demethylation" 0.985516476195009
648 0.270631188471177 2 7 "GO:0071028" "nuclear mRNA surveillance" 0.848319559423731
-522 0.452616391971854 2 5 "GO:0071033" "nuclear retention of pre-mRNA at the site of transcription" 0.889991966314376
213 0.737855070092415 8 6 "GO:0071035;GO:0071046;GO:0043634;GO:0071029;GO:0043633;GO:0071038;GO:0016078" "nuclear polyadenylation-dependent ncRNA catabolic process" 0.972191552623681
150 0.828837693105869 6 5 "GO:0071051" "polyadenylation-dependent snoRNA 3'-end processing" 0.982676277590505
405 0.0854931538787218 3 44 "GO:0071103" "DNA conformation change" 0.698688465605048
522 0.244990489838112 2 12 "GO:0071108" "protein K48-linked deubiquitination" 0.830188361573266
-135 0.705357042780775 6 19 "GO:0071156" "regulation of cell cycle arrest" 0.970140393685084
-765 0.271474066788327 2 5 "GO:0071157" "negative regulation of cell cycle arrest" 0.848431410873933
1042 0.100711872185039 7 6 "GO:0071168" "protein localization to chromatin" 0.723897746123166
1 0.99709139261287 3 61 "GO:0071214;GO:0104004" "cellular response to environmental stimulus" 0.999259655970525
616 0.376043916599081 2 5 "GO:0071218;GO:0051788" "cellular response to misfolded protein" 0.87237376016788
-326 0.198115111870197 2 38 "GO:0071222;GO:0071219;GO:0071216" "cellular response to biotic stimulus" 0.804445396885055
50 0.824616614329602 4 47 "GO:0071229" "cellular response to acid chemical" 0.981650410985964
400 0.228467742202741 2 22 "GO:0071230" "cellular response to amino acid stimulus" 0.811934167082376
-46 0.860908793955303 4 36 "GO:0071236;GO:0097237" "cellular response to toxic substance" 0.985101548950536
-340 0.625385273901592 4 5 "GO:0071243" "cellular response to arsenic-containing substance" 0.947343845363222
-328 0.141702143364578 2 49 "GO:0071248;GO:0071241" "cellular response to inorganic substance" 0.754527032390027
382 0.298399171293086 2 18 "GO:0071260" "cellular response to mechanical stimulus" 0.859612678467864
-26 0.963050292038405 6 8 "GO:0071267;GO:0043102;GO:0071265;GO:0019509" "L-methionine salvage" 0.995848162381776
409 0.486607101723376 6 7 "GO:0071276" "cellular response to cadmium ion" 0.893770874679203
-404 0.258659460088571 6 19 "GO:0071277" "cellular response to calcium ion" 0.837672144855893
1071 0.0916771277588711 2 6 "GO:0071295" "cellular response to vitamin" 0.703125909579173
-227 0.58537144299627 2 14 "GO:0071300" "cellular response to retinoic acid" 0.934153937654182
-348 0.479328163609851 4 10 "GO:0071320" "cellular response to cAMP" 0.893770874679203
159 0.692768598723037 4 15 "GO:0071333;GO:0071331;GO:0071326;GO:0071322" "cellular response to carbohydrate stimulus" 0.967133082814301
-663 0.22774523576429 4 8 "GO:0071340" "skeletal muscle acetylcholine-gated channel clustering" 0.811934167082376
-160 0.254730488580584 2 125 "GO:0071345" "cellular response to cytokine stimulus" 0.835122516423744
284 0.371418044643239 6 24 "GO:0071346;GO:0034341" "response to interferon-gamma" 0.87237376016788
-180 0.714013721434518 2 10 "GO:0071347" "cellular response to interleukin-1" 0.971492309298927
97 0.843961207839709 6 10 "GO:0071353;GO:0070670" "response to interleukin-4" 0.982676277590505
-1262 0.00010245693095256 3 23 "GO:0071354;GO:0070741;GO:1990264" "response to interleukin-6" 0.0301124734123829
250 0.396335162013329 5 28 "GO:0071356;GO:0034612" "response to tumor necrosis factor" 0.875919363109079
-357 0.331216415504045 3 18 "GO:0071359;GO:0043331;GO:0043330;GO:0071360" "cellular response to dsRNA" 0.870805286348269
182 0.725626769887848 5 9 "GO:0071361" "cellular response to ethanol" 0.972191552623681
13 0.940428056607303 5 86 "GO:0071363;GO:0070848" "response to growth factor" 0.994358887847017
-328 0.345891977233159 5 20 "GO:0071364;GO:0070849" "response to epidermal growth factor" 0.871018469660137
-82 0.889106350527701 6 7 "GO:0071372;GO:0032354;GO:0071371" "cellular response to follicle-stimulating hormone stimulus" 0.987914984373673
-138 0.496154302178101 2 59 "GO:0071375;GO:1901653" "cellular response to peptide" 0.894741847740145
-53 0.882913593817404 5 19 "GO:0071385;GO:0071384;GO:0071383" "cellular response to steroid hormone stimulus" 0.987463083308389
-362 0.0411185074134119 4 78 "GO:0071396" "cellular response to lipid" 0.581790811033626
-996 0.0266048386925986 3 12 "GO:0071397;GO:0036315;GO:0070723;GO:0036314" "response to sterol" 0.479481618001805
-597 0.277987394253778 3 8 "GO:0071398" "cellular response to fatty acid" 0.848798442853628
39 0.94045551106238 4 9 "GO:0071404;GO:0055094;GO:0071402" "response to lipoprotein particle" 0.994358887847017
-84 0.585314580581364 2 104 "GO:0071407" "cellular response to organic cyclic compound" 0.934153937654182
-82 0.549559442553958 2 131 "GO:0071417;GO:1901699" "cellular response to nitrogen compound" 0.923063461679854
-132 0.621954695170657 2 34 "GO:0071456;GO:0036294;GO:0071453" "cellular response to oxygen levels" 0.944644937203644
-29 0.958333495255619 2 8 "GO:0071470" "cellular response to osmotic stress" 0.995848162381776
-342 0.207962876802461 2 33 "GO:0071478" "cellular response to radiation" 0.808897739144783
-495 0.21774455454718 3 15 "GO:0071479" "cellular response to ionizing radiation" 0.810938526090533
-250 0.693707621833513 2 6 "GO:0071480" "cellular response to gamma radiation" 0.967133082814301
-32 0.788379759268996 2 171 "GO:0071495" "cellular response to endogenous stimulus" 0.975778147430469
-88 0.601767241505468 2 87 "GO:0071496" "cellular response to external stimulus" 0.939105769824586
155 0.73022238831958 3 12 "GO:0071526" "semaphorin-plexin signaling pathway" 0.972191552623681
169 0.664947853578426 4 16 "GO:0071539;GO:1905508;GO:0072698;GO:0044380" "protein localization to microtubule cytoskeleton" 0.960716752709661
-729 0.120387548236268 2 11 "GO:0071542" "dopaminergic neuron differentiation" 0.747360968599165
197 0.59216834864397 5 18 "GO:0071549;GO:0071466;GO:0071548" "cellular response to xenobiotic stimulus" 0.936984714918575
468 0.189758022290655 2 19 "GO:0071560;GO:0071559" "response to transforming growth factor beta" 0.800815080667849
-453 0.230246722549066 3 17 "GO:0071616;GO:0034030;GO:0034033;GO:0035384;GO:0033866" "ribonucleoside bisphosphate biosynthetic process" 0.811934167082376
-397 0.499810507075568 2 7 "GO:0071625" "vocalization behavior" 0.894741847740145
-423 0.505679942502146 2 6 "GO:0071638;GO:0032682;GO:0071637" "negative regulation of chemokine production" 0.899792330122406
91 0.749595510393769 3 30 "GO:0071688;GO:0031034;GO:0031033" "myosin filament organization" 0.972191552623681
357 0.143154450885214 2 41 "GO:0071695" "anatomical structure maturation" 0.754527032390027
-698 0.0933826137337641 2 14 "GO:0071709" "membrane assembly" 0.703125909579173
-347 0.584344514985866 5 6 "GO:0071711" "basement membrane organization" 0.934153937654182
-609 0.337221505072789 3 6 "GO:0071786" "endoplasmic reticulum tubular network organization" 0.871018469660137
393 0.474373915490736 3 8 "GO:0071805" "potassium ion transmembrane transport" 0.892819840153365
253 0.667029055127863 3 7 "GO:0071869;GO:0071867" "response to monoamine" 0.960716752709661
583 0.176963260194586 5 13 "GO:0071887" "leukocyte apoptotic process" 0.7962112655338
53 0.855789138562836 5 29 "GO:0071897" "DNA biosynthetic process" 0.984970550509963
-170 0.317234105240439 4 85 "GO:0071900" "regulation of protein serine/threonine kinase activity" 0.861282998314988
-467 0.112467496626832 2 28 "GO:0071901" "negative regulation of protein serine/threonine kinase activity" 0.742490489289656
-203 0.749383893243244 4 6 "GO:0072015;GO:0072310" "glomerular visceral epithelial cell development" 0.972191552623681
729 0.138429028164053 2 10 "GO:0072073" "kidney epithelium development" 0.754527032390027
-201 0.772562752610396 6 5 "GO:0072080;GO:0072009" "nephron epithelium development" 0.975778147430469
216 0.535917248141838 2 20 "GO:0072089" "stem cell proliferation" 0.914220414340894
40 0.918972003787631 2 16 "GO:0072091" "regulation of stem cell proliferation" 0.99328594169326
444 0.52333431869279 2 5 "GO:0072132" "mesenchyme morphogenesis" 0.909941463855249
-320 0.560580521983408 2 8 "GO:0072175;GO:0001838" "epithelial tube formation" 0.925502949804746
-1734 0.0126573723560935 3 5 "GO:0072307;GO:0072182;GO:0072215;GO:2000696" "regulation of metanephric nephron tubule epithelial cell differentiation" 0.364577528756765
-5 0.980693971769326 2 55 "GO:0072330" "monocarboxylic acid biosynthetic process" 0.996485634016242
-2 0.994197000595025 5 26 "GO:0072331" "signal transduction by p53 class mediator" 0.998953064213476
-8 0.985460367812794 2 13 "GO:0072332" "intrinsic apoptotic signaling pathway by p53 class mediator" 0.998459530956053
611 0.214624032000813 2 10 "GO:0072337" "modified amino acid transport" 0.810938526090533
-66 0.884022737437067 2 12 "GO:0072347" "response to anesthetic" 0.987463083308389
977 0.0965561078878085 4 7 "GO:0072348" "sulfur compound transport" 0.704728515941335
-911 0.0522407006318019 2 11 "GO:0072350" "tricarboxylic acid metabolic process" 0.626700781048411
-89 0.879116836122582 2 7 "GO:0072358" "cardiovascular system development" 0.986460169057478
397 0.308136620985256 4 16 "GO:0072422;GO:0072401;GO:0072395" "signal transduction involved in DNA damage checkpoint" 0.861282998314988
364 0.483010824549293 5 9 "GO:0072499" "photoreceptor cell axon guidance" 0.893770874679203
-365 0.207518439351113 3 29 "GO:0072523" "purine-containing compound catabolic process" 0.808897739144783
762 0.0165293515920506 3 24 "GO:0072524;GO:0072525" "pyridine-containing compound metabolic process" 0.409345804028251
653 0.266944243953006 2 7 "GO:0072526" "pyridine-containing compound catabolic process" 0.847071768270434
326 0.139965186390642 4 50 "GO:0072527" "pyrimidine-containing compound metabolic process" 0.754527032390027
431 0.102377062960959 2 35 "GO:0072528;GO:0006221;GO:0006220" "pyrimidine nucleotide metabolic process" 0.724340319753737
-418 0.315011255958045 2 14 "GO:0072529" "pyrimidine-containing compound catabolic process" 0.861282998314988
94 0.828287694499251 7 13 "GO:0072583" "clathrin-dependent endocytosis" 0.982676277590505
-874 0.00108335677070409 3 34 "GO:0072593" "reactive oxygen species metabolic process" 0.125171979885107
-12 0.934058706715914 4 126 "GO:0072594" "establishment of protein localization to organelle" 0.994151563136106
10 0.979886917592619 2 16 "GO:0072599;GO:0045047" "establishment of protein localization to endoplasmic reticulum" 0.996485634016242
-305 0.381816352751585 5 20 "GO:0072655;GO:0070585" "protein localization to mitochondrion" 0.87237376016788
-88 0.511968437193976 2 137 "GO:0072657" "protein localization to membrane" 0.903809120253266
7 0.969619317524818 3 80 "GO:0072659;GO:1990778" "protein localization to cell periphery" 0.995848162381776
7 0.980860264014427 5 25 "GO:0072666;GO:0072665" "protein localization to vacuole" 0.996485634016242
-352 0.613204384535494 2 5 "GO:0072675" "osteoclast fusion" 0.941792254398205
410 0.404594465792946 2 10 "GO:0072734;GO:0071242;GO:0071312;GO:0072733" "cellular response to ammonium ion" 0.878551247007151
-1033 0.137507796620815 3 5 "GO:0075522" "IRES-dependent viral translational initiation" 0.754527032390027
1313 0.0169448236222966 7 8 "GO:0080009" "mRNA methylation" 0.412633040769569
97 0.272433301661579 2 329 "GO:0080134" "regulation of response to stress" 0.848798442853628
146 0.224339949624296 2 173 "GO:0080135" "regulation of cellular response to stress" 0.811934167082376
811 0.201734756999383 8 6 "GO:0080182" "histone H3-K4 trimethylation" 0.804445396885055
642 0.192136042292906 6 10 "GO:0086004;GO:1903115" "regulation of cardiac muscle cell contraction" 0.800815080667849
434 0.378264627204596 5 10 "GO:0090023;GO:0071624;GO:0090022;GO:1902624;GO:0071622;GO:1902622" "regulation of granulocyte chemotaxis" 0.87237376016788
32 0.956917660656259 3 7 "GO:0090051;GO:0043537;GO:0090049;GO:1903671" "negative regulation of sprouting angiogenesis" 0.995848162381776
-115 0.376834967926989 3 146 "GO:0090066" "regulation of anatomical structure size" 0.87237376016788
73 0.68330282824735 2 76 "GO:0090068" "positive regulation of cell cycle process" 0.965067261071581
217 0.676163413731261 2 9 "GO:0090069" "regulation of ribosome biogenesis" 0.962198135287626
295 0.591175747127143 3 8 "GO:0090084;GO:0090083" "regulation of inclusion body assembly" 0.936984714918575
-442 0.140320640304729 4 27 "GO:0090090" "negative regulation of canonical Wnt signaling pathway" 0.754527032390027
-121 0.586474788354942 2 49 "GO:0090092" "regulation of transmembrane receptor protein serine/threonine kinase signaling pathway" 0.934153937654182
71 0.874343487413794 3 12 "GO:0090100" "positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway" 0.985500292252112
